word,translation,toeic_target,sentence,trans_s
manage,v.???????????  ,??, 1. She manages a team of 10 employees.  2. He managed to finish the project on time.  3. Can you manage without help?,1. ???????10????????? 2. ????????????? 3. ???????????????
management,n. ??????????  ,??, 1. Good management is key to a successful business.  2. The management decided to increase salaries.  3. Time management is important for students.,1. ?????????????? 2. ?????????? 3. ???????????
marriage,n. ??  ,??, Their marriage lasted for 20 years.,????????20??
mate,n. ????? v. ?????  ,??, 1. He’s my best mate since childhood.  2. The bird found its mate during the spring.  3. The animals mate in the spring.,1. ??????????? 2. ??????????? 3. ????????
material,n. ?? adj. ???????  ,??, 1. The dress is made of high-quality material.  2. The material evidence was crucial to the case.,1. ???????????? 2. ??????????
mature,adj. ??? v. ???????????????  ,??, 1. She is very mature for her age.  2. These fruits take a few days to mature.  3. The investment will mature in five years.,1. ?????????? 2. ????????????? 3. ??????????
means,n. ?????  ,??, 1. Education is a means to success.  2. We must find a means of communication.,1. ??????????? 2. ????????????
measurement,n. ?????????  ,??, 1. Accurate measurement is essential in science.  2. Her waist measurement is 65 centimeters.  3. Take the room’s measurements before buying furniture.,1. ?????????????? 2. ?????65??? 3. ?????????????
medical,adj. ???????????  ,??, She needs medical attention right away.,??????????
melody,n. ??  ,??, This song has a beautiful melody.,????????
membership,n. ????  ,??, She applied for membership in the gym.,????????????
mention,v. ????? n. ?????  ,??, 1. He didn’t mention anything about the party  2. Her name got a special mention in the speech.,1. ??????? 2.???????????????
military,adj. ??? n. ??  ,??, 1. They took military action against the rebels.  2. The military is preparing for a possible attack.,1. ???????????? 2. ????????????
minority,n. ??  ,??, The minority of students preferred online classes over in-person ones.,?????????????????
mixture,n. ???  ,??," The cake batter is a mixture of flour, eggs, and sugar.",??????????????????
mood,n. ?????  ,??, She’s in a good mood today because she got the job.,???????????????????
mug,n. ??,??,She bought a cute mug with a cat on it.,?????????????????
musical,adj. ??? n. ???????  ,??, 1. She has a very musical voice.  2. We went to see a famous musical last night.,1. ??????????? 2. ????????????????
nearby,adj. ??? adv. ???  ,??," 1. There is a nearby supermarket where we can buy groceries.  2. She lives nearby, so we often meet for coffee.",1. ?????????????????? 2. ?????????????????
nerve,n. ????????  ,??, 1. The doctor explained how the nerves transmit signals to the brain.  2. It took a lot of nerve for him to speak up in the meeting.,1. ???????????????? 2. ?????????????????
network,n. ????????? v. ?????????  ,??, 1. The internet is a global network connecting millions of computers.  2. She attends conferences regularly to network with professionals in her field.,1. ????????????????????? 2. ?????????????????????
northern,adj. ???  ,??, They traveled through the northern part of the country.,?????????????
obvious,adj. ???  ,??, It’s obvious that she’s upset about something.,?????????
occur,v. ??????(??)??  ,??, 1. The accident occurred late last night.  2. It didn’t occur to me that she might be lying.,1. ?????????? 2. ???????????
official,adj. ??????? n. ??????  ,??, 1. The official statement was released this morning.  2. A government official visited the disaster area yesterday.,1. ?????????? 2. ?????????????
operate,v. ?????  ,??, 1. The company operates in over 20 countries.  2. He knows how to operate heavy machinery.,1. ??????20????? 2. ??????????
operator,n. ???????????  ,??, 1. The machine stopped working because the operator made a mistake.  2. She worked as a telephone operator in the 1980s.  3. The tour operator arranged everything for our trip.,1. ?????????????? 2. ??1980?????????? 3. ??????????????
organ,n. ????????  ,??, 1. The heart is a vital organ in the human body.  2. She plays the organ at church every Sunday.  3. The newspaper is considered the official organ of the party.,1. ???????????? 2. ??????????? 3. ?????????????
organization,n. ???????????  ,??, 1. He works for an international organization that helps refugees.  2. The success of the event was due to excellent organization.,1. ???????????????? 2. ??????????????
origin,n. ????????  ,??, 1. The origin of the custom is unclear.  2. She is a writer of French origin.,1. ??????????? 2. ??????????
painting,n. ??  ,??, That painting was created by a famous Italian artist.,????????????????????
participate,v. ??  ,??, Many students participated in the school sports day.,?????????????
particular,adj. ??????????? n. ?????  ,??, 1. I’m looking for a particular book about history.  2. He’s very particular about his food.  3. Can you give me more particulars about the event?,1. ???????????? 2. ????????? 3. ???????????????
password,n. ??,??,Please enter your password to log in.,???????????
peak,n. ????????? v. ???????  ,??, 1. We reached the peak of the mountain after five hours of hiking.  2. Sales peaked last December during the holiday season.  3. The athlete is in peak condition for the competition.,1. ????????????? 2. ?????????????????? 3. ??????????????
per,prep. ??????????  ,??, The speed limit is 60 miles per hour.,??????60???
personality,n. ????????  ,??, 1. She has a cheerful personality that makes everyone like her.  2. Your personality plays a big role in how you interact with others.,1. ??????????????? 2. ???????????????????
phrase,n. ?? v. ????????  ,??, 1. “Break a leg” is a common phrase used to wish someone good luck.  2. The speaker carefully phrased his argument to avoid offending anyone.,1. ???????????????????? 2. ????????????????
poet,n. ??,??,Shakespeare is one of the most famous poets.,??????????????
poetry,n. ?  ,??, She enjoys reading poetry in her free time.,?????????????
policeman/cop,n. ??,??,The policeman helped the lost child.,???????????
policy,n. ?????  ,??, The company has a strict policy on internet usage.,??????????????
port,n. ????? v.?????(???????)   ,??, 1. The ship arrived safely at the port last night.  2. The developers ported the game from PC to mobile devices.,1. ?????????? 2. ??????? PC ????????
pose,v. ?????? n. ??  ,??, 1. The model posed for the photographer in front of the sunset.  2. The new law poses a challenge to small businesses.  3. She held a graceful pose during the dance performance.,1. ??????????????? 2. ???????????? 3. ???????????????
possibility,n. ??????  ,??, There is a possibility of rain tomorrow.,????????
post,n. ???????? v. ??????????? adv. ??  ,??, 1. He was assigned to a new post in the marketing department.  2. She sent the letter by post yesterday.  3. They posted the job advertisement online.,1. ????????????? 2. ??????????? 3. ?????????????
powerful,adj. ???????????????  ,??, 1. The president is one of the most powerful people in the country.  2. She gave a powerful speech that inspired everyone.,1. ?????????????? 2. ????????????????????
prayer,n. ?????  ,??, She said a prayer for her family’s health and happiness.,?????????????
prefer,v. ???????????  ,??, I prefer tea to coffee in the morning.,??????????????
press,v. ??????? n. ??????   ,??, 1. Please press the button to start the machine.  2. The manager pressed him to finish the report by Friday.  3. The reporter works for the local press.,1. ?????????? 2. ????????????? 3. ??????????
pride,n. ????? v. ?...??  ,??, 1. She takes great pride in her work.  2. He prides himself on being punctual.,1. ???????????? 2. ???????
prince/princess,n. ??/??,??,The prince lives in a large castle.,????????????
prison,n. ??  ,??, He was sent to prison for five years.,????????
prisoner,n. ??  ,??, The prisoner was released after serving ten years.,???????????
proper,adj. ???????  ,??, 1. Please wear proper clothes to the interview.  2. It’s important to use proper grammar when writing.,1. ????????????? 2. ??????????????
propose,v. ????????  ,??, 1. He proposed a new plan to improve the company’s sales.  2. He nervously proposed to his girlfriend last night.,1. ????????????????? 2. ????????????
protective,adj. ???  ,??, Parents often have a protective attitude toward their children.,???????????????
prove,v. ??  ,??, The scientist proved his theory with multiple experiments.,?????????????????
pudding,n. ??,??,I had chocolate pudding for dessert.,????????????
punishment,n. ??  ,??, The teacher gave him a punishment for being late.,??????????????
pupil,n. ???  ,??, 1. The teacher praised the pupils for their hard work.,1. ???????????
quality,n. ?? agj. ???  ,??, 1. The quality of this fabric is excellent.  2. They sell quality products at reasonable prices.,1. ???????????? 2. ????????????????
quantity,n. ??  ,??, The factory produces large quantities of shoes every month.,???????????
railroad/railway,n. ??  ,??, The railroad connects the city to the countryside.,??????????
range,n. ?????? v. ?????  ,??, 1. The price range for these products is quite wide.  2. The mountains form a beautiful range along the coast.  3. The temperature can range from 10 to 30 degrees Celsius.,1. ?????????????? 2. ???????????????? 3. ???????10?30????
rapid,adj. ??  ,??, The river’s rapid flow made it dangerous to swim.,????????????
reality,n. ???  ,??, Sometimes reality is different from what we expect.,????????????????
recent,adj. ???  ,??, The recent news about the project was very encouraging.,??????????????????
refrigerator/fridge,n. ??,??,Please store the food in the refrigerator.,???????????
regard,n. ????? v.???????????  ,??, 1. She has a lot of regard for her teachers.  2. Many people regard her as a talented artist.  3. He regards his health as very important.,1. ????????? 2. ????????????????? 3. ???????????
region,n. ??  ,??, This region is known for its beautiful landscapes.,#??!
relate,v. ?????  ,??, 1. She related the events of the accident to the police.  2. This story relates to the history of the city.,#??!
relation,n. ??  ,??, The relation between the two countries has improved recently.,???????????
religion,n. ???????  ,??, 1. Freedom of religion is a basic human right.  2. Buddhism is one of the major religions in Asia.,#??!
remove,v. ?????  ,??, 1. Please remove your shoes before entering the house.  2. The stain was hard to remove from the fabric.,1. ???????? 2. ???????????
reply,n./v. ?????  ,??, 1. His reply to the question was very clear.  2. She didn’t reply to my message.,1. ???????????? 2. ??????????
require,v. ?????  ,??, 1. This job requires a lot of patience and attention to detail.  2. The school requires students to wear uniforms.,#??!
requirement,n. ??????????  ,??, 1. Good communication skills are a requirement for this position.  2. The project meets all the safety requirements.,1. ????????????????? 2. ???????????
respond,v. ??????????  ,??, 1. She didn’t respond to my email until two days later.  2. The company quickly responded to customer complaints.,1. ???????????????? 2. ?????????????
riches,n. ???????????  ,??, 1. He left his homeland in search of fame and riches.  2. The country is known for the natural riches of its forests and rivers.,#??!
rocky,adj. ?????????????  ,??, 1. We hiked along a rocky path by the sea.  2. Their relationship had a rocky start but improved over time.,#??!
rooster,n. ??,??,The rooster crowed at sunrise.,?????????
royal,adj. ??????? n. ????  ,??, 1. The royal family attended the ceremony.  2. She received a royal welcome when she arrived.,#??!
rubber,n. ??????(????) adj. ????  ,??," 1. The tires are made of strong rubber.  2. In the UK, “rubber” means an eraser used for pencils.  3. She wore rubber boots to walk in the rain.",1. ?????????? 2. ?????rubber????????????? 3. ????????????
runner,n. ??  ,??, He is a professional runner who competes internationally.,?????????????????
salesperson/salesman,n. ????  ,??, The salesperson helped me choose the right laptop.,#??!
saleswoman,n. ???  ,??, The saleswoman helped me choose the right laptop.,??????????????
salty,adj. ???????  ,??, 1. The ocean air tastes salty.  2. The soup is too salty; it needs more water.,1. ??????? 2. ???;???????
saw,v. ???? n. ??  ,??, He used a saw to cut the wooden board.,#??!
scare,v. ?????? n. ????????  ,??, 1. The loud noise scared the children.  2. There was a scare about a possible power outage last night.,#??!
schedule,n. ??????? v. ???????  ,??, 1.  My schedule is very busy this week.  2. We scheduled the meeting for next Monday.,1. ?????????? 2. ????????????
seek,v. ???????????  ,??, 1. Many people seek happiness in their lives.  2. She is seeking advice from her mentor.,1. ???????????? 2. ?????????????
selection,n. ??  ,??, The store offers a wide selection of books.,??????????????
self,n. ?? adj. ???????  ,??, 1. It’s important to take care of yourself.  2. She has a strong sense of self.,1. ????????? 2. ??????????
sensitive,adj. ?????????????  ,??, 1. He is very sensitive to criticism.  2. This skin cream is for people with sensitive skin.  3. She is sensitive to other people's feelings.,#??!
separate,adj. ??????????? v. ??????  ,??, 1. They have separate bedrooms in the house.  2. Please separate the recyclable materials from the trash.,1. ????????????? 2. ????????????
settle,v. ????????  ,??," 1. After traveling for years, she decided to settle in a small town.  2. They settled their differences through negotiation.",1. ??????????????????? 2. ????????????
settlement,n. ????????????????  ,??, 1. The two parties reached a settlement out of court.  2. The early settlers established a settlement by the river.,1. ????????? 2. ??????????????
sex,n. ????  ,??, 1. Please indicate your sex on the form male or female.  2. Sex education is important for teenagers.,#??!
shame,n. ???????? v. ?????  ,??, 1. He felt deep shame after lying to his friends.  2. It’s a shame that we couldn’t attend the concert.  3. She tried to shame him into apologizing.,1. ??????????????? 2. ????????????? 3. ?????????
shell,n. ??????? v. ?????  ,??, 1. The crab has a hard shell for protection.  2. Soldiers found an unexploded shell on the battlefield.  3. She shelled the peanuts before eating them.,1. ????????????? 2. ?????????????? 3. ??????????
shock,n./v. ?????  ,??, 1. The earthquake caused a strong shock that damaged many buildings.  2. The news of his sudden death came as a shock to everyone.  3. The bad news shocked her deeply.,1. ?????????????????? 2. ??????????????? 3. ????????????
shot,n. ????????  ,??, 1. She shot the arrow straight into the target.  2. The hunter fired a single shot.  3. He made a three-point shot at the last second.,1. ????????? 2. ??????? 3. ????????????
simply,adv. ?????????????  ,??, 1. You can solve the problem simply by following the instructions.  2. I simply don’t understand what you mean.,#??!
skilled,adj. ????????  ,??, 1. She is a skilled carpenter who can make beautiful furniture.  2. The job requires skilled workers with experience.,1. ????????????????????? 2. ????????????????
slip,n./v. ?????  ,??, 1. Be careful not to slip on the wet floor.,1. ??????????????
slipper(s),n. ??  ,??, She put on her slippers after coming home from work.,???????????
smooth,adj. ??????????? v. ???????  ,??, 1. The table has a smooth surface.  2. The meeting went smoothly without any problems.  3. She smoothed the wrinkles out of the paper.,#??!
sock(s),n. ??  ,??, He bought new socks for the winter.,?????????
soft,adj. ???  ,??, This pillow is very soft and comfortable.,????????????
soil,n. ?? v. ?????  ,??," 1. Plants grow best in rich, moist soil.  2. Be careful not to soil your clothes while painting.",1. ????????????????? 2. ?????????????
solution,n. ??????????  ,??, 1. She finally found the correct solution to the math question.  2. We need a solution to this problem as soon as possible.  3. Saltwater is a solution of salt in water.,1. ?????????????? 2. ????????????? 3. ???????????
somewhat,adv. ??????????  ,??, I was somewhat surprised by his reaction.,???????????
sort,n. ?? v. ??  ,??, 1. There are all sorts of people at the party.  2. I need to sort these papers before the meeting.,1. ??????????? 2. ??????????????
source,n. ??  ,??, The source of the river is high in the mountains.,??????????
southern,adj. ???  ,??, He lives in the southern part of the country.,?????????
soybean,n. ??,??,Soybeans are an important source of protein.,#??!
spelling,n. ?????  ,??, Her spelling is excellent.,?????????
sport,n. ?? v. ?????  ,??, Soccer is a popular sport around the world.,?????????????????
stage,n. ????? v. ?????  ,??, 1. The project is in its final stage.  2. He performed on stage for the first time.  3. The theater group staged a new play last week.  4. The protest was staged by students.,1. ??????????? 2. ???????? 3. ???????????? 4. ??????????
standard,adj. ??? n. ??  ,??," 1. He drives a standard car, not a luxury one.  2. The company maintains high standards of quality.",1. ?????????????? 2. ???????????
statement,n. ?????????  ,??, 1. The politician made a public statement about the issue.  2. I checked my bank statement online yesterday.,1. ??????????????? 2. ???????????????
steel,n. ?? v. ???????????  ,??, 1. The bridge is made of strong steel.  2. She steeled herself before giving the speech.,1. ?????????? 2. ????????????
stick,v. ???? n. ????  ,??, 1. The thorn stuck in his finger.  2. She stuck the note on the fridge with a magnet.  3. He found a long stick to use as a walking aid.,1. ???????? 2. ????????????? 3. ???????????????
stress,n. ?? v. ??  ,??, 1. Work-related stress can affect your health.  2. He stressed the need for honesty in his speech.,1. ???????????? 2. ??????????????
stretch,n. ????? v. ??  ,??, 1. The road stretches for miles through the countryside.  2. She likes to stretch her muscles before exercising.,1. ?????????????? 2. ????????????
strict,adj. ???  ,??, The teacher is very strict about homework deadlines.,??????????????
struggle,n./v. ?????  ,??,1. She struggled to finish her homework on time.  2. The fish struggled to get free from the net.  3. Life is a constant struggle for many people.,1. ?????????? 2. ?????????? 3. ??????????????????
subway(??)/underground(??),n. ??  ,??, 1. I take the subway to work every day.  2. The underground system in London is very extensive.,1. ????????? 2. ????????????
suitable,adj. ???  ,??, This dress is suitable for formal occasions.,????????????
supply,n./v. ??  n. ??????,??," 1. The city has a limited supply of clean water.  2. The company supplies food to local supermarkets. 3.If you're ordering office supplies, please put me down for a box of paper clips and a box of letterhead.",1. ?????????? 2. ????????????3. ??????????????????????????
suppose,v. ???????????  ,??, 1. I suppose it will rain tomorrow.  2. Let's suppose that you win the lottery.  3. He supposed that she was already home.,1. ???????? 2. ???????? 3. ???????????
surface,n. ?? v. ?????????? adj. ???  ,??, 1. The water's surface was calm and clear.  2. Problems began to surface during the meeting.  3. The surface layer of the road needs repairing.,1. ??????? 2. ??????????? 3. ??????????
survival,n. ????????  ,??, 1. His quick thinking ensured their survival in the wilderness.  2. The doctors fought for the patient’s survival.,1. ????????????????? 2. ????????????
swim,v./n. ??  ,??, 1. I swim in the pool every morning.  2. Let’s go for a swim after lunch.,1. ?????????????? 2. ???????
switch,n. ???????? v. ????????  ,??, 1. Press the switch to turn on the light.  2. She switched from tea to coffee in the mornings.  3. Please switch seats with me.,1. ???????? 2. ??????????? 3. ???????
tale,n. ??  ,??, He told us a tale about his adventures at sea.,????????????????
target,n. ????? v. ?...????  ,??," 1. Our sales target for this month is $50,000.  2. The archer hit the target.  3. The campaign targets young voters.","1. ??????????50,000??? 2. ??????? 3. ??????????????"
task,n. ?? v. ?...??  ,??, My main task today is to finish the report.,??????????????
tax,n. ???? v. ?...??  ,??, 1. You must pay income tax every year.  2. The government taxes imported goods.,1. ??????????? 2. ??????????
technology,n. ???????  ,??, 1. Modern technology has changed the way we communicate.  2. The company is developing new technology for renewable energy.,1. ??????????????? 2. ???????????????
teens,n. ???  ,??, He learned to play the guitar in his teens.,?????????????
terrorism,n. ?????????  ,??, The government is taking strong measures to fight terrorism.,????????????????
terrorist,adj. ????  ,??, The terrorist was captured by the authorities.,??????????
text,n. ????? v. ???  ,??, 1. I read the text of the speech online.  2. I will text you the details later.,1. ?????????????? 2. ?????????????
throughout,prep. ??????? adv. ?????  ,??, 1. The festival was celebrated throughout the city.  2. She worked hard throughout the year.,1. ?????????? 2. ????????
thus,adv. ?????  ,??," The evidence was incomplete, thus the case was dismissed.",??????????????
tire,v. ?? n. ??  ,??, 1. Walking long distances can tire you out quickly.  2. My car needs a new tire.,1. ??????????????? 2. ?????????
tissue,n. ??????????????(???)??  ,??, 1. Could you pass me a tissue? I need to blow my nose.  2. The doctor took a sample of tissue for testing.,1. ????????????????? 2. ?????????????
tone,n. ????????  ,??, Her tone of voice suggested she was upset,???????????
tour,n. ?????????? v. ??  ,??, 1. We went on a tour of Italy last summer.  2.The band is going on a world tour next year.  3.They toured Europe by train.,1. ??????????????? 2. ?????????????? 3. ??????????
toward/towards,prep. ????????  ,??, 1. She walked toward the door.  2. We are moving towards a cleaner energy future.  3. He has a positive attitude toward his work.,1. ?????? 2. ???????????????? 3. ?????????????
track,n. ?? v. ??  ,??, Police are trying to track the suspect.,??????????
trial,n. ???????????????????  ,??, 1. You can use the software for a 7-day free trial.  2. The murder case will go to trial next month.  3. Climbing the mountain in winter was a real trial.,1. ???????????7?????? 2. ???????????? 3. ???????????
typical,adj. ???????????  ,??, 1. This painting is typical of his early work.  2. It’s typical of her to be late.  3. The hot and humid weather is typical in summer here.,1. ??????????????? 2. ??????? 3. ???????????????
unit,n. ?????????(??)???(??)???????  ,??," 1. The length is measured in meters, a common unit of measurement.  2. This textbook is divided into ten units.  3. The military unit was deployed overseas.  4. She just bought a new apartment unit downtown.",1. ????????????????? 2. ??????????? 3. ?????????? 4. ????????????
unless,conj. ??  ,??, You won’t pass the exam unless you study hard.,??????????????
upset,adj. ??????????? v. ???????? n. ??????????????  ,??, 1. She was very upset about the bad news.  2. He was upset by the argument with his friend.  3. The unexpected result upset everyone.  4. The team suffered an upset in the championship game.,1. ???????????? 2. ?????????????? 3. ????????????????? 4. ??????????
used,adj. ??????  ,??, I bought a used car last week.,???????????
user,n. ???,??,The user logged into the system.,????????
view,n. ???????? v. ????????  ,??," 1. The hotel room has a beautiful view of the ocean.  2. In my view, we should wait a little longer.  3. We viewed the movie last night.  4. The committee views this proposal positively.",1. ??????????? 2. ?????????????? 3. ????????? 4. ?????????????
waiter/waitress,n. ???/????  ,??, The waiter brought us the menu quickly.,???????????
wealth,n. ????????  ,??, 1. He inherited a great wealth from his family.  2. The country’s natural wealth includes forests and minerals.,1. ???????????? 2. ?????????????????
weigh,v. ?...??????  ,??, 1. Please weigh the luggage before going to the airport.  2. You should weigh the pros and cons before making a decision.,1. ???????????? 2. ?????????????
western,adj. ??? n. ??????  ,??, They moved to a western state in the USA.,??????????????
whatever,adj. ????????? pron. ??...????????  ,??," 1. Take whatever you want from the fridge.  2. Whatever happens, stay calm.",1. ???????????? 2. ???????????????
whenever,conj. ??????? adv. ???????  ,??," 1. You can call me whenever you need help.  2. Whenever I see her, she’s always smiling.",1. ???????????? 2. ????????????
wherever,conj. ????? adv. ?????  ,??," 1. You can sit wherever you like.  2. Wherever he goes, he makes friends easily.",1. ????????????? 2. ?????????????????
whisper,n. ????? v. ???????  ,??, 1. I heard a whisper behind the door.  2. She whispered a secret to her friend.,1. ????????? 2. ?????????????
whoever,pron. ????  ,??, Whoever arrives first will get the prize.,???????????
width,n. ??  ,??, The width of the table is two meters.,?????????
willing,adj. ???????  ,??, She is willing to help with the project.,??????????
wine,n. ??????  ,??, They drank red wine with dinner.,?????????
wire,n. ?? v. ?????  ,??, 1. The electrician fixed the broken wire.  2. They wired the new house for internet.,1. ???????? 2. ?????????????
within,prep. ?...??? adv. ???  ,??, 1. Please complete the task within two days.  2. There is no smoking allowed within the building.,1. ?????????? 2. ????????
wonder,v. ??? n. ??  ,??, 1. I wonder if it will rain tomorrow.  2. It’s a wonder that everyone survived the accident.,1. ??????????? 2. ?????????????
wood(s),n. ?????  ,??, 1. The table is made of wood.  2. We went hiking in the woods last weekend.,1. ??????? 2. ???????????
wooden,adj. ???  ,??, They bought a wooden chair for the dining room.,?????????????
wool,n. ??  ,??, She wore a warm sweater made of wool.,???????????????
worse,adj. ??? adv. ?? n. ????  ,??, 1. His health is getting worse.  2. Things are going from bad to worse.,1. ??????????? 2. ???????
worst,adj. ??????? adv. ??????? n. ?????  ,??, 1. This is the worst day of my life.  2. He performed the worst in the competition.  3. Prepare for the worst.,1. ????????????? 2. ?????????? 3. ??????????
worth,adj. ?...??? n. ???  ,??, 1. This book is worth reading.  2. The painting is of great worth.,1. ???????? 2. ????????
yam,n. ??,??,Yam is a popular food in many countries.,?????????????
aboard,prep. /adv. ?(??????)??(??????)?  ,??, 1. There were 300 people aboard the ship.  2. All passengers must be aboard before the train departs.,1. ???300?? 2. ???????????????
acceptable,adj. ?????  ,??, Your behavior is not acceptable in this classroom.,?????????????????
accurate,adj. ???  ,??, The scientist gave an accurate description of the experiment.,???????????????
ache,n./v. ??  ,??, 1. I had a dull ache in my back after sitting too long.  2. My muscles ache after the long run.,1. ??????????? 2. ?????????
achieve,v. ?????  ,??, She worked hard to achieve her goals.,???????????
achievement,n. ????????  ,??, Winning the award was his greatest achievement.,?????????????
additional,adj. ???????  ,??, We need additional time to finish the project.,????????????????
advanced,adj. ???????????  ,??, 1. This phone has many advanced features.  2. She is taking an advanced English course.,1. ???????????? 2. ???????????
advantage,n. ???????  ,??, Knowing two languages is a big advantage in finding a job.,?????????????????
adventure,n. ??  ,??, Going backpacking in the mountains was the biggest adventure of my life.,??????????????????
advertise,v. ?...???  ,??, The company plans to advertise its new product on TV.,????????????????
advertisement/ad,n. ??  ,??, I saw an advertisement for a new smartphone in the magazine.,???????????????????
adviser/advisor,n. ?????  ,??, She works as a financial adviser for a large bank.,???????????????
afford,v. ???????????  ,??, 1. I can’t afford to buy a new car right now.  2. This job will afford you many opportunities to travel.,1. ????????? 2. ????????????????
afterward/afterwards,adv. ?????  ,??, We went to a movie and afterward/afterwards we had dinner.,??????????/?????????
agriculture,n. ??  ,??, Modern agriculture uses advanced machinery to increase crop production.,#??!
airline,n. ???????  ,??, I booked a ticket with a major airline for my trip to Paris.,????????????????????????
alley,n. ??????  ,??, The cat ran quickly down the alley.,????????
admission,n. ?????????  ,??, Candidates must pass the entrance exam before being given admission to an interview.,#??!
be subject to,?...?????...  ,??," Regardless of their position or status, employees will be subject to annual evalutions.",???????????????????
committed,adj. ?????  ,??, We are seeking committed professionals in the fields of medicine and health administration.,????????????????????????
fire,v. ??  ,??, Employees who commit serious breaches of company policy may be fired with two-week's notice.,#??!
position,n. ??  ,??, Please inform candidates that applying for multiple positions is against company policy.,????????????????????
accordingly,adv. ?????????  ,??," Given the limited timeframe, selection procedures should be shortened accordingly.",?????????????????
hire,v. ?????  ,??, This month we will need to hire four people to fill vacancies in the human resources department.,#??!
match,v. ?????  ,??, Hiring managers should match a candidate's experience to the most appropriate department in the company.,?????????????????????????
responsibility,n. ?????  ,??, It is the HR director's responsibility to maintain our workforce's effectiveness.,???????????????????
assessment,n. ??  ,??, Assessment of potential hires should be done according to our ranking system.,#??!
recruit,v. ?????  ,??, The president specifically stated we were not to recruit overseas workers for this position.,???????????????????????
applicant,n. ???????  ,??, Job applicants should always try to make the best first impression.,?????????????????
consider,v. ?????  ,??, People considering a career change should first decide whether the new position will help them achieve their career goals.,#??!
arrange,v. ?????  ,??, Candidates who are unable to take the written exam on the scheduled day may arrange a make-up test.,?????????????????????
background,n. ?????  ,??, Questions regarding candidate's backgrounds should be limited to education and employment history.,???????????????????????
candidate,n. ???????????  ,??," There are 12 candidates, but only five positions are available.",#??!
experience,n. ?????  ,??, How much experience do you have with maintaining large databases?,???????????????
interview,n. ?????  ,??, There will be no group interviews. We will meet each candidates on a one-to-one basis.,??????????????????????????
prior to,?...??  ,??, Did the candidates research the company's current activities prior to the interview?,#??!
reference,n. ???  ,??, Three references are required to apply to this position.,????????????
resume,n. ??  ,??, We were very impressed with your resume especially your work history.,??????????????????????
accomplishment,n. ?????  ,??, I consider the release of my home accounting software to be one of my greatest accomplishment.,#??!
capability,n. ?????  ,??," In my previous job, I had many opportunities to prove my capability in multitasking.",????????????????????????
potential,n. ??  ,??, I believe my full potential has yet to have been realized.,?????????????????
proficiency,n. ??????????  ,??," I have documented proficiency in English, Japanese and Chinese.",#??!
profile,n. ????  ,??, I hope my profile clearly shows my dedication to the preservation and improvement of community.,???????????????????????????
degree,n. ?????  ,??, His resume exhibits a high degree of mastery of social media marketing.,????????????????????
ethic,n. ?????  ,??," He claims to have a strong work ethic, but he's had four jobs in the past two years.",#??!
recommendation,n. ????????????  ,??," If you have any recommendations regarding what personal qualities we should look for, please let me know.",????????????????????????????
weakness,n. ?????  ,??, Not looking for a better position is considered a weakness by many hiring manaders.,????????????????????
elsewhere,adv. ???????  ,??," I will seek employment elsewhere, because I'm not happy with how the company is treating me.",#??!
benefit,n. ?????  ,??," Free gym membership, yearly professional development courses, and on-site daycare are some of the benefit the company offers.",??????????????????????????????????
complimentary,adj. ???????????  ,??," I don't like early meetings, but I definitely do enjoy the complimentary breakfast we get!",????????????????????
generous,adj. ???????  ,??," The company dosen't offer much leave, but it is certainly generous with the salaries it offers.",#??!
leave,n. ?????  ,??, I would gladly work for a lower salary if I could have more paid leave.,???????????????????????
practical,adj. ???????  ,??," The training is very nice in theory, but it has no practical application to my work.",??????????????????????
satisfy,v. ??  ,??," The benefit here really don't satisfy my need--there is no dental care, no day care, and not much leave offered.",#??!
diligent,adj. ???????  ,??," She's got good ideas, but she's not particularly diligent when it comes to team work.",?????????????????????
dividend,n. ?????  ,??, Our company is paying dividends in the form of a year-end bonus.,?????????????????
eligible,adj. ???  ,??," He's not eligible for the position, since he doesn't have college degree.",#??!
entitle,v. ??(???)  ,??," According to our company's policy, after a year, I'll be entitled to three weeks of vacation.",?????????????????????
grant,n. ???????  ,??, I am really hoping to get a grant from that research company.,????????????????????
optional,adj. ????????  ,??," I konw bonuses are technically optional, but I think the managers know that we expect them each year.",#??!
productive,adj. ???  ,??," After his performance review, he got a raise for being so productive.",??????????????????
representative,n. ??  ,??, I'm going to speak to our human resources representative about getting some extra time off this year.,????????????????????????????
respectively,v. ???????  ,??," Based on our seniority, we get three and four weeks paid leave, respectively.",#??!
tempt,v. ????????  ,??," I am very tempted to take their offer, because the benefits are so much better than my current position.",???????????????????????????
acknowledge,v. ??  ,??, He took the credit for the project's success and didn't acknowledge her contribution at all.,??????????????????????????
contribute,v. ??  ,??, I can't take all the credit for the plan. Everyone on the team contributed to it.,#??!
dedication,n. ?????  ,??, They're hoping to inspire dedication by offering stock in the company rather than cash bonuses.,????????????????????????
motivate,v. ?????  ,??, The bigger bonuses are meant to motivate the emplyees to work harder.,??????????????????
winner,n. ??????  ,??," After working on it night and day for a week, it looks like our proposal is going to be the winner!",#??!
improve,v. ?????  ,??, She's volunteering for every work group because she's really eager to improve her chances for a promotion.,????????????????????????????
look forward to,??  ,??," I like my work, but I'm really looking forward to my vacation next week.",?????????????????????
loyal,adj. ??????? ,??, I hope my loyal service to the company will be rewarded when they give out bonuses this year.,#??!
